goog_date,goog_month,goog_year,goog_isoweek,goog_isodow,goog_isoyear,goog_channel_group,goog_product_group,goog_sub_channel,goog_advertiser,goog_cost,goog_impressions,goog_clicks,goog_video_views,goog_video_completes
2017-01-15,1,2017,2,6,2017,Remarketing,Pillow,DN,Tempur-Pedic,174.6,96343,108,0,0.0
2017-01-15,1,2017,2,6,2017,Shopping,Mattress,SN,Tempur-Pedic,567.2499999999999,17623,163,0,0.0
2017-01-15,1,2017,2,6,2017,Shopping,Other,SN,Tempur-Pedic,352.18,7352,110,0,0.0
2017-01-15,1,2017,2,6,2017,Shopping,Pillow,SN,Tempur-Pedic,513.72,18238,186,0,0.0
2017-01-16,1,2017,2,7,2017,Branded Search,Mattress,SN,Tempur-Pedic,14666.590000000002,36359,4689,0,0.0
2017-01-16,1,2017,2,7,2017,Competitor,Mattress,SN,Tempur-Pedic,216.67000000000002,1823,11,0,0.0
2017-01-16,1,2017,2,7,2017,Dynamic Remarketing,Mattress,DN,Tempur-Pedic,220.71,129404,303,0,0.0
2017-01-16,1,2017,2,7,2017,Mattress Firm,Mattress,SN,Tempur-Pedic,188.5,3779,32,0,0.0
2017-01-16,1,2017,2,7,2017,Non-Branded Search,Mattress,SN,Tempur-Pedic,1574.0600000000006,12655,204,0,0.0
2017-01-16,1,2017,2,7,2017,Non-Branded Search,Other,SN,Tempur-Pedic,1950.0999999999997,30177,781,0,0.0
2017-01-16,1,2017,2,7,2017,Non-Branded Search,Pillow,SN,Tempur-Pedic,279.31999999999994,3031,70,0,0.0
2017-01-16,1,2017,2,7,2017,Non-Branded Search Tier 1,Mattress,SN,Tempur-Pedic,3012.5,22436,471,0,0.0
2017-01-16,1,2017,2,7,2017,Non-Branded Search Tier 1,Pillow,SN,Tempur-Pedic,432.9300000000001,5770,135,0,0.0
2017-01-16,1,2017,2,7,2017,Remarketing,Mattress,DN,Tempur-Pedic,448.75,144927,177,0,0.0
