bing_date,bing_month,bing_year,bing_isoweek,bing_isodow,bing_isoyear,bing_channel_group,bing_product_group,bing_sub_channel,bing_advertiser,bing_cost,bing_impressions,bing_clicks,bing_video_views,bing_video_completes
2017-01-16,1,2017,2,7,2017,Display Remarketing,Other,DN,Tempur-Pedic,190.98999999999998,68413,139,0,0.0
2017-01-16,1,2017,2,7,2017,Display Remarketing,Pillow,DN,Tempur-Pedic,150.76000000000002,118857,102,0,0.0
2017-01-16,1,2017,2,7,2017,Shopping,Mattress,SN,Tempur-Pedic,568.87,20656,164,0,0.0
2017-01-16,1,2017,2,7,2017,Shopping,Other,SN,Tempur-Pedic,355.09,6699,112,0,0.0
2017-01-16,1,2017,2,7,2017,Shopping,Pillow,SN,Tempur-Pedic,512.64,26372,219,0,0.0
2017-01-17,1,2017,3,1,2017,Branded Search,Mattress,SN,Tempur-Pedic,15233.440000000004,67975,4354,0,0.0
2017-01-17,1,2017,3,1,2017,Branded Search,Other,SN,Tempur-Pedic,1831.0700000000002,26757,747,0,0.0
2017-01-17,1,2017,3,1,2017,Branded Search,Pillow,SN,Tempur-Pedic,686.2999999999998,9185,203,0,0.0
2017-01-17,1,2017,3,1,2017,Competitor Search,Mattress,SN,Tempur-Pedic,422.19999999999993,4513,43,0,0.0
2017-01-17,1,2017,3,1,2017,Display Remarketing,Mattress,DN,Tempur-Pedic,669.15,330472,577,0,0.0
2017-01-17,1,2017,3,1,2017,Display Remarketing,Other,DN,Tempur-Pedic,186.69999999999996,65882,129,0,0.0
2017-01-17,1,2017,3,1,2017,Display Remarketing,Pillow,DN,Tempur-Pedic,157.60999999999999,86624,120,0,0.0
2017-01-17,1,2017,3,1,2017,Shopping,Mattress,SN,Tempur-Pedic,568.29,16804,171,0,0.0
2017-01-17,1,2017,3,1,2017,Shopping,Other,SN,Tempur-Pedic,356.79,7713,108,0,0.0
2017-01-17,1,2017,3,1,2017,Shopping,Pillow,SN,Tempur-Pedic,512.09,24210,217,0,0.0
2017-01-18,1,2017,3,2,2017,Branded Search,Mattress,SN,Tempur-Pedic,13696.66,60490,3874,0,0.0
2017-01-18,1,2017,3,2,2017,Branded Search,Other,SN,Tempur-Pedic,1650.6000000000004,26936,661,0,0.0
2017-01-18,1,2017,3,2,2017,Branded Search,Pillow,SN,Tempur-Pedic,711.66,9184,218,0,0.0
2017-01-18,1,2017,3,2,2017,Competitor Search,Mattress,SN,Tempur-Pedic,404.26,6268,43,0,0.0
2017-01-18,1,2017,3,2,2017,Display Remarketing,Mattress,DN,Tempur-Pedic,724.0700000000002,309856,622,0,0.0
2017-01-18,1,2017,3,2,2017,Display Remarketing,Other,DN,Tempur-Pedic,211.63000000000002,59910,123,0,0.0
2017-01-18,1,2017,3,2,2017,Display Remarketing,Pillow,DN,Tempur-Pedic,171.7,75247,116,0,0.0
2017-01-18,1,2017,3,2,2017,Shopping,Mattress,SN,Tempur-Pedic,574.6700000000001,17917,193,0,0.0
2017-01-18,1,2017,3,2,2017,Shopping,Other,SN,Tempur-Pedic,366.33,9923,114,0,0.0
2017-01-18,1,2017,3,2,2017,Shopping,Pillow,SN,Tempur-Pedic,532.7800000000001,25206,229,0,0.0
2017-01-19,1,2017,3,3,2017,Branded Search,Mattress,SN,Tempur-Pedic,7397.520000000001,25537,2987,0,0.0
2017-01-19,1,2017,3,3,2017,Competitor Search,Mattress,SN,Tempur-Pedic,388.86,4752,42,0,0.0
2017-01-19,1,2017,3,3,2017,Display Remarketing,Mattress,DN,Tempur-Pedic,706.4499999999997,315980,645,0,0.0
2017-01-19,1,2017,3,3,2017,Display Remarketing,Other,DN,Tempur-Pedic,207.64999999999998,67620,123,0,0.0
2017-01-19,1,2017,3,3,2017,Display Remarketing,Pillow,DN,Tempur-Pedic,165.95000000000002,70126,98,0,0.0
2017-01-19,1,2017,3,3,2017,Shopping,Mattress,SN,Tempur-Pedic,576.44,15137,168,0,0.0
2017-01-19,1,2017,3,3,2017,Shopping,Other,SN,Tempur-Pedic,359.33,12111,118,0,0.0
2017-01-19,1,2017,3,3,2017,Shopping,Pillow,SN,Tempur-Pedic,521.5799999999999,18308,194,0,0.0
2017-01-20,1,2017,3,4,2017,Branded Search,Mattress,SN,Tempur-Pedic,9774.829999999994,43309,3016,0,0.0
2017-01-20,1,2017,3,4,2017,Competitor Search,Mattress,SN,Tempur-Pedic,412.46000000000004,2365,42,0,0.0
2017-01-20,1,2017,3,4,2017,Competitor Search,Other,SN,Tempur-Pedic,48.45,232,8,0,0.0
2017-01-20,1,2017,3,4,2017,Display Remarketing,Mattress,DN,Tempur-Pedic,1355.4900000000007,1186367,1126,0,0.0
2017-01-20,1,2017,3,4,2017,Display Remarketing,Other,DN,Tempur-Pedic,202.48999999999998,73837,140,0,0.0
2017-01-20,1,2017,3,4,2017,Display Remarketing,Pillow,DN,Tempur-Pedic,156.61,49307,86,0,0.0
2017-01-20,1,2017,3,4,2017,Shopping,Mattress,SN,Tempur-Pedic,904.9,31108,293,0,0.0
2017-01-20,1,2017,3,4,2017,Shopping,Other,SN,Tempur-Pedic,349.55,10334,112,0,0.0
2017-01-20,1,2017,3,4,2017,Shopping,Pillow,SN,Tempur-Pedic,508.78,21913,203,0,0.0
2017-01-21,1,2017,3,5,2017,Branded Search,Mattress,SN,Tempur-Pedic,16857.440000000006,72985,4985,0,0.0
2017-01-21,1,2017,3,5,2017,Branded Search,Other,SN,Tempur-Pedic,2187.49,21713,707,0,0.0
2017-01-21,1,2017,3,5,2017,Branded Search,Pillow,SN,Tempur-Pedic,695.6999999999999,7111,184,0,0.0
2017-01-21,1,2017,3,5,2017,Competitor Search,Mattress,SN,Tempur-Pedic,395.0899999999999,1075,30,0,0.0
2017-01-21,1,2017,3,5,2017,Competitor Search,Other,SN,Tempur-Pedic,50.57,132,7,0,0.0
2017-01-21,1,2017,3,5,2017,Display Remarketing,Mattress,DN,Tempur-Pedic,1269.2100000000003,380300,685,0,0.0
2017-01-21,1,2017,3,5,2017,Display Remarketing,Other,DN,Tempur-Pedic,190.71999999999997,54898,126,0,0.0
2017-01-21,1,2017,3,5,2017,Display Remarketing,Pillow,DN,Tempur-Pedic,159.33,64034,101,0,0.0
