hit_date,hit_isoweek,hit_month,hit_quarter,hit_year,hit_isoyear,hit_brandname,hit_parentcompany,hit_brandtype,hit_brandsubtype,hit_value
2018-04-29,17,4,2,2018,2018,Helix,Helix,manufacturer,disruptor,46951.0
2017-12-03,48,12,4,2017,2017,Dream Bed,mfrm,manufacturer,disruptor,
2018-04-29,17,4,2,2018,2018,Nest Bedding,Nest Bedding,manufacturer,disruptor,43659.0
2017-12-10,49,12,4,2017,2017,Nectar,Nectar,manufacturer,disruptor,148846.0
2018-04-29,17,4,2,2018,2018,Avocado Mattress,Avocado Mattress,manufacturer,disruptor,33554.0
2018-04-29,17,4,2,2018,2018,ghost bed,ghost bed,manufacturer,disruptor,33320.0
2018-04-29,17,4,2,2018,2018,Zen Haven,Saatva,manufacturer,disruptor,22485.0
2018-04-29,17,4,2,2018,2018,Bed In a Box,Bed In a Box,manufacturer,disruptor,10354.0
2018-04-29,17,4,2,2018,2018,Nolah,Nolah,manufacturer,disruptor,14151.0
2018-04-29,17,4,2,2018,2018,cocoon,tsi,manufacturer,disruptor,12122.0
2018-01-28,4,1,1,2018,2018,cocoon,tsi,manufacturer,disruptor,16529.0
2018-04-29,17,4,2,2018,2018,Wink Beds,Wink Beds,manufacturer,disruptor,10518.0
2018-04-29,17,4,2,2018,2018,Sleep Eve,Sleep Eve,manufacturer,disruptor,5164.0
2018-04-29,17,4,2,2018,2018,Eve Mattress,Sleep Eve,manufacturer,disruptor,5164.0
2018-05-06,18,5,2,2018,2018,purple,purple,manufacturer,disruptor,645975.0
2018-05-06,18,5,2,2018,2018,casper,casper,manufacturer,disruptor,267853.0
2018-05-06,18,5,2,2018,2018,Nectar,Nectar,manufacturer,disruptor,333319.0
2018-05-06,18,5,2,2018,2018,saatva,saatva,manufacturer,disruptor,167017.0
2018-05-06,18,5,2,2018,2018,tuft & needle,tuft & needle,manufacturer,disruptor,143039.0
2018-05-06,18,5,2,2018,2018,leesa,leesa,manufacturer,disruptor,92342.0
2017-12-10,49,12,4,2017,2017,Dream Bed,mfrm,manufacturer,disruptor,
2018-05-06,18,5,2,2018,2018,loom & leaf,saatva,manufacturer,disruptor,55084.0
2017-12-17,50,12,4,2017,2017,Nectar,Nectar,manufacturer,disruptor,166512.0
2018-05-06,18,5,2,2018,2018,Helix,Helix,manufacturer,disruptor,39164.0
2018-05-06,18,5,2,2018,2018,Nest Bedding,Nest Bedding,manufacturer,disruptor,38210.0
2018-05-06,18,5,2,2018,2018,Avocado Mattress,Avocado Mattress,manufacturer,disruptor,27443.0
2018-05-06,18,5,2,2018,2018,ghost bed,ghost bed,manufacturer,disruptor,30644.0
2018-05-06,18,5,2,2018,2018,Zen Haven,Saatva,manufacturer,disruptor,24587.0
2018-05-06,18,5,2,2018,2018,Bed In a Box,Bed In a Box,manufacturer,disruptor,11697.0
2018-05-06,18,5,2,2018,2018,Nolah,Nolah,manufacturer,disruptor,6371.0
2018-02-04,5,2,1,2018,2018,cocoon,tsi,manufacturer,disruptor,15762.0
2018-05-06,18,5,2,2018,2018,cocoon,tsi,manufacturer,disruptor,11551.0
2018-05-06,18,5,2,2018,2018,Wink Beds,Wink Beds,manufacturer,disruptor,11062.0
2018-05-06,18,5,2,2018,2018,Sleep Eve,Sleep Eve,manufacturer,disruptor,1701.0
2018-05-06,18,5,2,2018,2018,Eve Mattress,Sleep Eve,manufacturer,disruptor,1701.0
2018-05-13,19,5,2,2018,2018,purple,purple,manufacturer,disruptor,610884.0
2018-05-13,19,5,2,2018,2018,casper,casper,manufacturer,disruptor,302578.0
2018-05-13,19,5,2,2018,2018,Nectar,Nectar,manufacturer,disruptor,336518.0
2017-12-17,50,12,4,2017,2017,Dream Bed,mfrm,manufacturer,disruptor,
2018-05-13,19,5,2,2018,2018,saatva,saatva,manufacturer,disruptor,179902.0
2017-12-24,51,12,4,2017,2017,Nectar,Nectar,manufacturer,disruptor,168873.0
2018-05-13,19,5,2,2018,2018,tuft & needle,tuft & needle,manufacturer,disruptor,120060.0
2018-05-13,19,5,2,2018,2018,leesa,leesa,manufacturer,disruptor,77885.0
2018-05-13,19,5,2,2018,2018,loom & leaf,saatva,manufacturer,disruptor,58045.0
2018-05-13,19,5,2,2018,2018,Helix,Helix,manufacturer,disruptor,40822.0
2018-05-13,19,5,2,2018,2018,Nest Bedding,Nest Bedding,manufacturer,disruptor,30916.0
2018-05-13,19,5,2,2018,2018,Avocado Mattress,Avocado Mattress,manufacturer,disruptor,31426.0
2018-05-13,19,5,2,2018,2018,ghost bed,ghost bed,manufacturer,disruptor,28714.0
2018-05-13,19,5,2,2018,2018,Zen Haven,Saatva,manufacturer,disruptor,22636.0
